-1.035366 0.506707 -0.751623 0.957733
-1.033323 0.510796 -0.746036 0.963133
-1.031272 0.514873 -0.740444 0.968539
-1.029214 0.518937 -0.734849 0.973951
-1.027150 0.522989 -0.729249 0.979369
-1.025079 0.527028 -0.723645 0.984794
-1.023001 0.531054 -0.718037 0.990224
-1.020916 0.535068 -0.712425 0.995661
-1.018825 0.539068 -0.706810 1.001103
-1.016728 0.543056 -0.701191 1.006551
-1.014625 0.547031 -0.695568 1.012005
-1.012515 0.550992 -0.689941 1.017464
-1.010399 0.554940 -0.684312 1.022928
-1.008277 0.558875 -0.678679 1.028399
-1.006148 0.562797 -0.673043 1.033874
-1.004014 0.566705 -0.667404 1.039354
-1.001875 0.570599 -0.661762 1.044840
-0.999729 0.574480 -0.656117 1.050330
-0.997578 0.578347 -0.650470 1.055826
-0.995421 0.582200 -0.644819 1.061326
-0.993258 0.586040 -0.639167 1.066831
-0.991091 0.589865 -0.633512 1.072341
-0.988917 0.593676 -0.627854 1.077855
-0.986739 0.597473 -0.622195 1.083374
-0.984555 0.601256 -0.616533 1.088897
-0.982366 0.605025 -0.610869 1.094424
-0.980173 0.608779 -0.605204 1.099956
-0.977974 0.612518 -0.599536 1.105491
-0.975770 0.616243 -0.593867 1.111031
-0.973562 0.619953 -0.588196 1.116574
-0.971349 0.623649 -0.582524 1.122121
-0.969131 0.627330 -0.576851 1.127672
-0.966909 0.630996 -0.571176 1.133227
-0.964682 0.634647 -0.565500 1.138785
-0.962451 0.638283 -0.559823 1.144346
-0.960216 0.641903 -0.554145 1.149911
-0.957976 0.645509 -0.548466 1.155479
-0.955732 0.649099 -0.542786 1.161050
-0.953484 0.652674 -0.537106 1.166625
-0.951233 0.656234 -0.531425 1.172202
-0.948977 0.659778 -0.525743 1.177782
-0.946717 0.663307 -0.520062 1.183365
-0.944454 0.666820 -0.514380 1.188950
-0.942187 0.670317 -0.508697 1.194538
-0.939917 0.673798 -0.503015 1.200129
-0.937643 0.677264 -0.497333 1.205722
-0.935366 0.680714 -0.491651 1.211317
-0.933085 0.684147 -0.485969 1.216915
