
0.000010 -1.109070e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111155e+00 -2.956503e-01 1.125732e+00 1.021694e+00 -9.654873e+00 -2.007296e+00 -4.301115e+00 -6.617501e-02 1.126914e-01 6.584056e-02 
0.000741 -1.109034e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111234e+00 -2.955712e-01 1.125732e+00 9.858235e-01 -9.671254e+00 -2.014541e+00 -4.293404e+00 -6.517393e-02 1.121378e-01 6.596379e-02 
0.001620 -1.109070e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111234e+00 -2.955712e-01 1.125629e+00 1.029986e+00 -9.650180e+00 -2.002727e+00 -4.303076e+00 -6.483693e-02 1.118235e-01 6.625170e-02 
0.002507 -1.109034e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 9.816728e-01 -9.701982e+00 -2.019977e+00 -4.302627e+00 -6.343592e-02 1.139035e-01 6.608036e-02 
0.003394 -1.109034e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 9.836468e-01 -9.700792e+00 -2.019434e+00 -4.303205e+00 -6.346714e-02 1.138744e-01 6.607744e-02 
0.004275 -1.109070e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 1.027685e+00 -9.679404e+00 -2.007719e+00 -4.312730e+00 -6.345278e-02 1.135071e-01 6.607817e-02 
0.005248 -1.109070e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 1.027252e+00 -9.679421e+00 -2.007831e+00 -4.312759e+00 -6.348407e-02 1.134991e-01 6.607535e-02 
0.006269 -1.109070e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 1.026846e+00 -9.680198e+00 -2.008008e+00 -4.312918e+00 -6.351090e-02 1.134943e-01 6.607270e-02 
0.007232 -1.109034e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 9.842354e-01 -9.703640e+00 -2.019632e+00 -4.304471e+00 -6.357313e-02 1.138388e-01 6.606669e-02 
0.008270 -1.109070e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111393e+00 -2.955712e-01 1.125732e+00 1.034878e+00 -9.673849e+00 -2.003442e+00 -4.314055e+00 -6.258023e-02 1.125344e-01 6.618999e-02 
0.009249 -1.109070e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 1.027603e+00 -9.681538e+00 -2.008070e+00 -4.313804e+00 -6.360916e-02 1.134961e-01 6.606177e-02 
0.010269 -1.109070e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 1.027137e+00 -9.682126e+00 -2.008241e+00 -4.313852e+00 -6.363078e-02 1.134906e-01 6.606005e-02 
0.011233 -1.109070e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 1.026737e+00 -9.682744e+00 -2.008394e+00 -4.313946e+00 -6.364894e-02 1.134863e-01 6.605830e-02 
0.012268 -1.109070e+00 2.704326e-01 -9.362479e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 9.967568e-01 -9.816267e+00 -2.031634e+00 -4.325700e+00 -6.332392e-02 1.144644e-01 6.605087e-02 
0.013247 -1.109070e+00 2.704326e-01 -9.362479e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 9.978537e-01 -9.809705e+00 -2.030578e+00 -4.325218e+00 -6.335674e-02 1.144158e-01 6.604955e-02 
0.014268 -1.109070e+00 2.704054e-01 -9.362935e-01 7.361601e-01 -2.111314e+00 -2.956503e-01 1.125629e+00 1.010303e+00 -9.613383e+00 -2.005739e+00 -4.282745e+00 -6.403857e-02 1.127806e-01 6.634095e-02 
0.015229 -1.109070e+00 2.704326e-01 -9.362479e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 1.000476e+00 -9.807236e+00 -2.029441e+00 -4.326309e+00 -6.339526e-02 1.143533e-01 6.603895e-02 
0.016266 -1.109034e+00 2.704326e-01 -9.362479e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 9.582009e-01 -9.824794e+00 -2.040368e+00 -4.317194e+00 -6.344803e-02 1.146936e-01 6.603509e-02 
0.017247 -1.109070e+00 2.704326e-01 -9.362479e-01 7.362453e-01 -2.111314e+00 -2.956503e-01 1.125732e+00 1.003481e+00 -9.796345e+00 -2.027537e+00 -4.325834e+00 -6.343506e-02 1.142832e-01 6.603825e-02 
0.018276 -1.109070e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111234e+00 -2.955712e-01 1.125732e+00 1.039339e+00 -9.630056e+00 -1.998317e+00 -4.305644e+00 -6.550869e-02 1.115600e-01 6.592027e-02 
0.019232 -1.109070e+00 2.704326e-01 -9.362479e-01 7.361601e-01 -2.111155e+00 -2.956503e-01 1.125732e+00 9.822185e-01 -9.717842e+00 -2.026530e+00 -4.287458e+00 -6.664720e-02 1.130023e-01 6.579826e-02 
0.020270 -1.109034e+00 2.704054e-01 -9.362935e-01 7.361601e-01 -2.111155e+00 -2.956503e-01 1.125732e+00 9.706116e-01 -9.603870e+00 -2.014065e+00 -4.267600e+00 -6.695572e-02 1.123667e-01 6.580798e-02 
0.021253 -1.109070e+00 2.704054e-01 -9.362935e-01 7.361601e-01 -2.111155e+00 -2.956503e-01 1.125732e+00 1.016562e+00 -9.586533e+00 -2.002203e+00 -4.279351e+00 -6.680835e-02 1.120580e-01 6.581789e-02 
0.022272 -1.109070e+00 2.704054e-01 -9.362935e-01 7.361601e-01 -2.111155e+00 -2.956503e-01 1.125629e+00 1.016783e+00 -9.591017e+00 -2.002395e+00 -4.280808e+00 -6.644675e-02 1.121087e-01 6.610764e-02 
0.023238 -1.109034e+00 2.704054e-01 -9.362935e-01 7.362453e-01 -2.111155e+00 -2.956503e-01 1.125732e+00 9.947497e-01 -9.674599e+00 -2.014263e+00 -4.303962e+00 -6.612298e-02 1.130357e-01 6.581493e-02 
