1751904169.6620848179 -1.0342317612 0.5057792584 -0.7502735565 0.9580562232 0.0000000000 -23.4764126264 -2.6784072696 -8.2075068808
1751904169.6660747528 -1.0341952379 0.5057249582 -0.7501823323 0.9579710020 -0.0327376846 -23.3137541823 -2.6924926458 -8.2328313532
1751904169.6700646877 -1.0341587145 0.5055892076 -0.7500454960 0.9581414443 4.8690845063 -14.1981473282 -0.3117489549 -5.9208189217
1751904169.6740765572 -1.0340856678 0.5057792584 -0.7497262112 0.9586527713 7.5094001812 -9.2786683754 1.5747192566 -4.1231635454
1751904169.6780452728 -1.0337934810 0.5063765606 -0.7489051933 0.9601015309 8.7114290620 -6.6368105993 2.9901141075 -2.8696475968
1751904169.6820690632 -1.0333186774 0.5071367635 -0.7476280543 0.9618059540 9.0308060659 -5.2253336455 3.9832472091 -2.0672865686
1751904169.6860496998 -1.0328803972 0.5078969664 -0.7459860184 0.9638512617 9.0180744419 -4.4772871470 4.6235945892 -1.5859308479
1751904169.6900680065 -1.0324421170 0.5085214187 -0.7441159220 0.9661522329 8.9449213439 -4.0843283666 5.0189300541 -1.3261432559
1751904169.6940777302 -1.0320038367 0.5088472199 -0.7422914377 0.9682827618 8.8899995968 -3.8754655685 5.2550739575 -1.1767515790
1751904169.6980857849 -1.0317481733 0.5089015201 -0.7405581776 0.9707541753 9.0042898098 -3.7633614574 5.4230750697 -1.1301450367
1751904169.7020554543 -1.0316020799 0.5088200698 -0.7387793054 0.9737369157 9.3005869471 -3.7045503703 5.5490658700 -1.2275153155
1751904169.7060585022 -1.0315290331 0.5087386195 -0.7369092090 0.9771457619 9.6752488635 -3.6771604229 5.6276226565 -1.4846353021
1751904169.7100541592 -1.0313829397 0.5087386195 -0.7346286037 0.9810659350 9.9485768886 -3.6714250919 5.6162137115 -1.8787717191
1751904169.7140560150 -1.0310907529 0.5089286702 -0.7320287135 0.9854122139 9.9939214060 -3.6814742864 5.5025164976 -2.3843582166
1751904169.7180540562 -1.0307255194 0.5091730212 -0.7289727023 0.9893323870 9.8867900015 -3.6997983634 5.2486957420 -2.8572512907
1751904169.7220489979 -1.0303237625 0.5095802727 -0.7254605700 0.9934230025 9.6959108195 -3.7279784863 4.8881998376 -3.2823126390
1751904169.7260491848 -1.0298124356 0.5100418244 -0.7218572136 0.9975136179 9.4082407274 -3.7595499508 4.4696290736 -3.6369888102
1751904169.7300381660 -1.0293376320 0.5102318752 -0.7183450813 1.0012633487 9.2113877250 -3.7836129180 4.0725053328 -3.8946391504
1751904169.7340521812 -1.0288993518 0.5104762261 -0.7147417248 1.0050983007 9.1015833723 -3.8095679029 3.7203205323 -4.0909157566
1751904169.7380485535 -1.0284975949 0.5107477271 -0.7115488773 1.0087628103 9.0872363676 -3.8336954532 3.4836454976 -4.1899295946
1751904169.7420499325 -1.0280593147 0.5110463782 -0.7084016418 1.0118307719 9.1103919210 -3.8580853676 3.3228480531 -4.1660718973
1751904169.7460417747 -1.0275479878 0.5115079300 -0.7052544064 1.0148135123 9.0499443867 -3.8874023742 3.2268010597 -4.0549367247
1751904169.7500512600 -1.0269636141 0.5122952829 -0.7021071710 1.0178814739 8.9028863982 -3.9257413392 3.1698519613 -3.9003641796
1751904169.7540462017 -1.0263792405 0.5130011856 -0.6990967719 1.0206085509 8.7532201806 -3.9607812408 3.1468452052 -3.7112653134
1751904169.7580511570 -1.0257583435 0.5139514392 -0.6958583123 1.0235060701 8.5999229190 -4.0035661803 3.1093459724 -3.5330209419
1751904169.7620453835 -1.0250278765 0.5149288429 -0.6927566890 1.0264888106 8.3780820786 -4.0464342039 3.1000809222 -3.3847605332
1751904169.7660479546 -1.0242974094 0.5158790965 -0.6898831262 1.0293011087 8.1710675012 -4.0876123390 3.1220918397 -3.2578318806
1751904169.7700486183 -1.0235669424 0.5169379505 -0.6870095634 1.0324542914 8.0217330422 -4.1319605263 3.1725264164 -3.1842940923
1751904169.7740445137 -1.0227999520 0.5180511047 -0.6841360006 1.0359483588 7.8852913113 -4.1780069637 3.2442202966 -3.2101639766
1751904169.7780287266 -1.0219964383 0.5191642589 -0.6814448863 1.0396128684 7.7842048928 -4.2231832033 3.3290923919 -3.3382788924
1751904169.7820377350 -1.0212294479 0.5205217640 -0.6784344872 1.0436182627 7.6885522525 -4.2761690450 3.3734530995 -3.5440937888
1751904169.7860479355 -1.0203894108 0.5219607194 -0.6754697002 1.0480497627 7.5738073113 -4.3308236267 3.4028220435 -3.8474454330
1751904169.7900309563 -1.0195493737 0.5233453746 -0.6725961374 1.0523108205 7.4929699238 -4.3830680506 3.4228020239 -4.1745570360
1751904169.7940375805 -1.0187458599 0.5249472307 -0.6695401262 1.0569127629 7.4573678318 -4.4415315798 3.4119605074 -4.5241090188
1751904169.7980222702 -1.0179058228 0.5266033869 -0.6664841150 1.0613442629 7.4070264193 -4.5008045248 3.4012957929 -4.8280859671
1751904169.8020391464 -1.0171388324 0.5282595432 -0.6636105523 1.0662018687 7.4770746043 -4.5590370670 3.3960609345 -5.1669248175
1751904169.8060362339 -1.0164083654 0.5300786000 -0.6604633168 1.0710594746 7.5826714485 -4.6222723304 3.3642161987 -5.4753825377
1751904169.8100185394 -1.0156048516 0.5320877076 -0.6571792451 1.0759170804 7.6165567038 -5.2809133835 3.3062840716 -5.7577491091
1751904169.8140184879 -1.0147648145 0.5341511154 -0.6539863976 1.0803485804 7.5985472877 -6.3223806663 3.2409953729 -5.9600941944
1751904169.8180365562 -1.0139247774 0.5363502737 -0.6505654895 1.0846948593 7.5610126475 -7.5724423061 3.1386648919 -6.0524162179
1751904169.8220307827 -1.0130482170 0.5386580324 -0.6469621330 1.0887854748 7.4902963170 -8.8334684915 3.0077412465 -6.0514905713
1751904169.8260359764 -1.0122081799 0.5409657911 -0.6435412249 1.0923647633 7.4801957914 -10.0690646473 2.8713001030 -5.9293101156
1751904169.8300344944 -1.0114777129 0.5434093003 -0.6398010321 1.0958588306 7.5601662458 -11.2795974818 2.7075148847 -5.7293108877
1751904169.8340401649 -1.0107107225 0.5459885601 -0.6359240030 1.0994381191 7.6582191615 -12.4443903278 2.5363148810 -5.5040442907
1751904169.8380324841 -1.0100167788 0.5484320693 -0.6322750344 1.1029321865 7.8354695590 -13.3740897383 2.3886830359 -5.3045599102
1751904169.8420374393 -1.0093958818 0.5512013797 -0.6281699447 1.1065966961 8.0542835638 -14.6216188769 2.1930979783 -5.1423522574
1751904169.8460342884 -1.0086654147 0.5540521405 -0.6240192429 1.1103464270 8.1499898146 -15.8753327750 1.9964828265 -5.0358422787
1751904169.8500413895 -1.0078984243 0.5567400006 -0.6199597654 1.1138404943 8.1669717945 -16.8283794677 1.8022865354 -4.9434321792
1751904169.8540370464 -1.0071679573 0.5595907614 -0.6155353909 1.1177606674 8.1456614138 -17.8150514072 1.5690730917 -4.9044075731
1751904169.8580353260 -1.0064009669 0.5624686723 -0.6109741802 1.1220217252 8.1097392317 -18.5457679247 1.3360105383 -4.9546589013
1751904169.8620316982 -1.0056339765 0.5650207819 -0.6067778663 1.1263680041 8.0929967042 -18.7084442279 1.1518021682 -5.0897846167
1751904169.8660371304 -1.0049400328 0.5677900923 -0.6023078798 1.1311403888 8.1256082506 -18.9879615714 0.9668016017 -5.3116603556
