1784244764.0309941769 -1.0336108642 0.5041774023 -0.7494069265 0.9562665789 -1.6129604442 -12.9813245278 -2.3956439940 -3.9095650549
1784244764.0389478207 -1.0335743409 0.5041774023 -0.7494069265 0.9561813578 -0.0000000000 -15.5585077145 -1.4718136770 -4.1904416450
1784244764.0486700535 -1.0335743409 0.5040959520 -0.7493613144 0.9560961366 -0.0898987981 -15.2605523182 -1.5666881138 -4.1658241063
1784244764.0567712784 -1.0335012942 0.5038516011 -0.7488595812 0.9561813578 4.9087943984 -6.1854232392 0.7581245634 -1.8794933994
1784244764.0648159981 -1.0334647708 0.5037973009 -0.7484946843 0.9564370212 9.0069110813 2.2111084442 5.2132667350 2.1941866567
1784244764.0728180408 -1.0326612571 0.5050733557 -0.7469894848 0.9588232136 8.3454707982 2.1334217332 6.3179585043 2.9597580081
1784244764.0808784962 -1.0313098930 0.5064580109 -0.7437510252 0.9628286079 8.1988710127 3.1177962873 6.6091970551 2.8897963498
1784244764.0907847881 -1.0302872392 0.5066752117 -0.7397371597 0.9684532041 8.3645465290 4.0730731263 6.1281602138 1.4355826146
1784244764.0988590717 -1.0290819686 0.5061593598 -0.7326672830 0.9791910696 7.8563739050 4.2266542680 5.0386259473 -0.3664413429
1784244764.1069655418 -1.0275479878 0.5064037107 -0.7243202674 0.9907811467 7.1863148664 4.2099304132 3.7481915083 -2.0869783706
1784244764.1168086529 -1.0258313902 0.5065937614 -0.7154259064 1.0027121083 7.0169502134 3.6520727670 2.5814682880 -3.5977927221
1784244764.1248800755 -1.0239686993 0.5072182138 -0.7046158369 1.0167735989 6.9440853481 1.7605247828 2.0370138722 -3.9970893785
1784244764.1329979897 -1.0222886251 0.5089558203 -0.6958583123 1.0269149163 6.5677211293 -0.8649723016 1.7595960549 -3.8772732867
1784244764.1410069466 -1.0198780838 0.5123495832 -0.6859604849 1.0379936665 6.4872098063 -3.2516457594 1.9521105498 -3.2128924707
1784244764.1489152908 -1.0181249629 0.5158790965 -0.6790274446 1.0454931281 6.5218409537 -4.5949428665 2.1124637996 -2.8193626987
1784244764.1569643021 -1.0166275055 0.5190285084 -0.6740101128 1.0513733878 6.4764945003 -7.2954751077 2.7009379570 -1.7639446369
1784244764.1666636467 -1.0146917678 0.5234539751 -0.6672139088 1.0582763013 6.0303806162 -8.3335417222 2.7895783872 -1.3623703117
1784244764.1748306751 -1.0119890398 0.5286667947 -0.6585476083 1.0672245226 5.7299396186 -9.1844646027 2.6731407699 -1.2395880420
1784244764.1828277111 -1.0097245919 0.5333909125 -0.6505198774 1.0754057535 5.5596508024 -9.9479568171 2.3427367689 -1.5115376084
1784244764.1908948421 -1.0073505741 0.5381421805 -0.6420816375 1.0846096382 5.3435994057 -10.5063079281 1.9847684026 -2.0176954708
1784244764.1989028454 -1.0048669861 0.5431106492 -0.6330960523 1.0943248498 5.1771731307 -11.2244916566 1.7078609216 -2.3643235115
1784244764.2068631649 -1.0024564449 0.5481062681 -0.6242473035 1.1044661673 5.1796637673 -11.7044336873 1.3888075645 -3.1478771825
1784244764.2147731781 -1.0000093803 0.5530204366 -0.6155353909 1.1149483693 4.9343568841 -12.0980057833 1.2738079329 -3.6166400471
1784244764.2227272987 -0.9973431756 0.5579617553 -0.6070515389 1.1254305714 4.7398459580 -12.6687023130 1.2580146401 -3.8435344282
1784244764.2308669090 -0.9946404475 0.5631474248 -0.5986132990 1.1356571100 4.5776368910 -13.4337326462 1.2487098837 -3.8693082169
1784244764.2406840324 -0.9917916261 0.5685774453 -0.5900382228 1.1457984274 4.5936835632 -14.4572423726 1.1108478583 -3.7417475215
1784244764.2488608360 -0.9884680010 0.5757179222 -0.5787720323 1.1576441679 4.8104523901 -14.9516201596 0.9771691550 -3.5472271161
1784244764.2568428516 -0.9858383197 0.5814465939 -0.5695127745 1.1671037161 5.0138832029 -15.5344248625 0.7599526215 -3.4010882513
1784244764.2648711205 -0.9832816850 0.5872838659 -0.5597973955 1.1765632643 5.1343992504 -15.8266200651 0.5524229250 -3.3369241883
1784244764.2729742527 -0.9807615737 0.5928767870 -0.5503100772 1.1862784760 5.1520767936 -16.1370296890 0.3884277163 -3.2820149851
1784244764.2827377319 -0.9781318924 0.5986054586 -0.5406859225 1.1957380242 4.8384317999 -16.2608369941 0.3383108228 -3.3510579746
1784244764.2908365726 -0.9747352206 0.6053929842 -0.5293741198 1.2078394282 4.6001811442 -16.3748092152 0.4043413586 -3.5004126618
1784244764.2989404202 -0.9718133525 0.6109044550 -0.5202973104 1.2180659667 4.4947118330 -16.6653305971 0.4496829517 -3.6726265880
1784244764.3069648743 -0.9689645310 0.6165788264 -0.5109468284 1.2283777265 4.4626416206 -16.9174271787 0.4835255802 -3.7425587406
1784244764.3167738914 -0.9660791862 0.6220902972 -0.5017787948 1.2381781593 4.4518913135 -17.2190497468 0.4752615561 -3.8727358068
